bgg_rank,name,hf
440,Cartographers Heroes,1.8809
441,Arkham Horror,1.6979
442,Blitzkrieg!: World War Two in 20 Minutes,1.9455
443,King of Tokyo,2.1233
444,Keep the Heroes Out!,2.3653
445,Honey Buzz,1.3032
446,Chess,5.7207
447,Downforce,1.7755
448,Akropolis,2.1592
449,Skull,2.0933
450,Dice Forge,1.8212
451,Die Macher,1.0597
452,Endeavor,1.1746
453,In the Year of the Dragon,1.375
454,Ticket to Ride: Märklin,1.3235
455,Descent: Legends of the Dark,2.1491
456,London (Second Edition),1.3254
457,Cubitos,1.5562
458,Tiny Towns,1.6897
459,Boonlake,1.3581
460,IKI,1.2228
461,Bruxelles 1893,1.2544
462,Azul: Stained Glass of Sintra,1.5684
463,San Juan (Second Edition),1.6452
464,King of Tokyo: Dark Edition,1.9703
465,Codenames: Pictures,2.8033
466,Evolution: Climate,1.3765
467,Pan Am,1.2172
468,Civilization,1.1429
469,Spartacus: A Game of Blood and Treachery,1.2439
470,Firefly: The Game,1.3654
471,Here I Stand,1.1714
472,Andromeda's Edge,1.4706
473,Ready Set Bet,1.4358
474,Biblios,1.8698
475,Mythic Battles: Pantheon,1.9795
476,Wavelength,1.6325
477,Imperial Struggle,1.3324
478,The Great Wall,1.2719
479,Sword & Sorcery,2.3023
480,Santa Maria,1.3256
481,Space Hulk (Third Edition),1.8667
482,Imperium: Legends,1.9
483,Sprawlopolis,3.0496
484,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,1.5415
485,Millennium Blades,1.2885
486,Fresco,1.2101
487,Clash of Cultures,1.2326
488,Nippon,1.3301
489,Commands & Colors: Napoleonics,2.1667
490,Flash Point: Fire Rescue,1.7831
491,Stockpile,1.3529
492,Macao,1.3036
493,Kingsburg,1.3254
494,Mice and Mystics,1.9872
495,Woodcraft,1.4328
496,Thunderstone Quest,1.6984
497,Dune,1.2
498,PitchCar,2.2887
499,Mandala,2.1839
500,Claustrophobia,1.6967
501,Black Orchestra,1.3135
502,Lord of the Rings: The Confrontation,2.2523
503,Caper: Europe,1.8105
504,The LOOP,1.6923
505,Reign of Cthulhu,1.6183
506,The Manhattan Project,1.2581
507,Advanced Squad Leader,2.6667
508,Libertalia: Winds of Galecrest,1.2956
509,Heroscape Master Set: Rise of the Valkyrie,2.6292
510,Zombicide: 2nd Edition,2.2099
511,Unsettled,1.6286
512,Lancaster,1.1765
513,The Vale of Eternity,1.7619
514,Dawn of the Zeds (Third Edition),1.9681
515,MicroMacro: Crime City – Full House,2.8592
516,Middara: Unintentional Malum – Act 1,3.25
517,Glen More,1.4106
518,Pipeline,1.3456
519,A Few Acres of Snow,1.5833
520,Quadropolis,1.3176
521,Colt Express,1.5055
522,No Thanks!,2.433
523,Citadels,1.4831
524,Imperial Settlers: Empires of the North,1.7242
525,Black Rose Wars,1.3377
526,Unmatched: Little Red Riding Hood vs. Beowulf,1.4502
527,Zombie Kidz Evolution,4.3115
528,High Society,1.7618
529,Bohnanza,1.65
530,Hadara,1.4029
531,Undaunted: North Africa,2.058
532,Trekking Through History,1.5121
533,Fire in the Lake,1.2963
534,Fantastic Factories,1.5191
535,Point Salad,2.0612
536,Stuffed Fables,1.8842
537,Mystic Vale,1.9073
538,"Unmatched: Battle of Legends, Volume Two",2.3745
539,Endeavor: Deep Sea,1.6066
540,Citadels,1.6494
541,Legacy of Yu,3.4759
542,Feed the Kraken,1.6341
543,Canvas,1.5519
544,Amun-Re,1.1606
545,Massive Darkness 2: Hellscape,1.973
546,Shadows over Camelot,1.3897
547,For Northwood! A Solo Trick-Taking Game,2.5453
548,Lords of Vegas,1.2374
549,Amerigo,1.2185
550,BattleLore,2.0345
551,Friday,3.1203
552,Hanabi,2.5871
553,Potion Explosion,1.8882
554,Betrayal Legacy,1.9558
555,Pandemic: The Cure,1.9346
556,Exit: The Game – Dead Man on the Orient Express,1.0187
557,Junk Art,1.5676
558,Forbidden Desert,1.6282
559,Sheriff of Nottingham,1.3675
560,Deus,1.3941
561,Through the Desert,1.4444
562,Mansions of Madness,1.3782
563,Blood Bowl (Third Edition),3.108
564,Descent: Journeys in the Dark,1.7607
565,Charterstone,2.4636
566,Oceans,1.4715
567,Imhotep,1.3651
568,Risk Legacy,2.0942
569,CATAN,2.4881
570,Thurn and Taxis,1.6199
571,Railroad Ink: Deep Blue Edition,3.0605
572,Shadows of Brimstone: City of the Ancients,2.32
573,Aquatica,1.4056
574,World Wonders,1.3822
575,Dune: War for Arrakis,1.5111
576,Raptor,1.926
577,Argent: The Consortium,1.1732
578,Bus,1.1667
579,"Labyrinth: The War on Terror, 2001 – ?",1.6062
580,QE,1.3347
581,Alhambra,1.5333
582,Port Royal,2.1609
583,Escape Plan,1.2415
584,Kutná Hora: The City of Silver,1.3059
585,Pagan: Fate of Roanoke,1.5816
586,Star Wars: X-Wing (Second Edition),3.0
587,1846: The Race for the Midwest,1.3758
588,Blood Bowl: Living Rulebook,3.5455
589,Etherfields,3.2143
590,1775: Rebellion,1.2915
591,Ingenious,1.9932
592,Freedom: The Underground Railroad,1.3964
593,Blackout: Hong Kong,1.5123
594,Small World Underground,1.2612
595,Splendor: Marvel,1.8933
596,Fleet: The Dice Game,1.7514
597,Skymines,1.332
598,TZAAR,2.5185
599,Nova Luna,2.1368
600,Las Vegas,1.5794
601,Unfathomable,1.1268
602,Love Letter: Premium Edition,1.8853
603,The Grizzled,2.0
604,Aeon Trespass: Odyssey,4.2989
605,Wabash Cannonball,1.3816
606,Discworld: Ankh-Morpork,1.424
607,RoboRally,1.4438
608,Runebound (Third Edition),1.4694
609,Camel Up,1.6164
610,Dinosaur Island: Rawr 'n Write,1.5441
611,Next Station: London,3.1842
612,Libertalia,1.2925
613,Sushi Go!,2.1059
614,First Class: All Aboard the Orient Express!,1.4922
615,Regicide,3.3445
616,Unmatched Adventures: Tales to Amaze,1.8686
617,London,1.2361
618,Lacrimosa,1.2432
619,Airlines Europe,1.2034
620,Valeria: Card Kingdoms,1.4827
621,Jamaica,1.3343
622,The Fox in the Forest,1.5807
623,Legends of Andor,1.9925
624,Horizons of Spirit Island,1.7692
625,Elysium,1.2831
626,Last Will,1.2642
627,Karuba,1.8083
628,Galaxy Trucker (Second Edition),1.8701
629,Archipelago,1.3604
630,Atlantis Rising (Second Edition),1.2447
631,Vikings,1.5133
632,Euphoria: Build a Better Dystopia,1.295
633,One Night Ultimate Werewolf,4.2195
634,Madeira,1.2703
635,Taj Mahal,1.1325
636,Unconscious Mind,1.2881
637,StarCraft: The Board Game,1.3107
638,Space Empires 4X,1.4681
639,In the Hall of the Mountain King,1.225
640,DVONN,2.1863
641,Sentinels of the Multiverse,2.575
642,Tales of the Arabian Nights,1.2638
643,Time's Up! Title Recall!,1.4242
644,Carcassonne: Hunters and Gatherers,1.8152
645,Draftosaurus,2.3886
646,Broom Service,1.23
647,Warp's Edge,2.5901
648,Pax Porfiriana,1.6731
649,Baseball Highlights: 2045,2.2541
650,Queendomino,1.3697
651,Crusaders: Thy Will Be Done,1.3032
652,Nexus Ops,1.2935
653,Colosseum,1.1467
654,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,3.4618
