hf_rank,bgg_rank,name,hyperfixation
407,38,Everdell,1.6861
408,858,Thunderstone Advance: Towers of Ruin,1.682
409,923,Parade,1.6811
410,912,Dale of Merchants,1.6803
411,648,Pax Porfiriana,1.6731
412,983,Stella: Dixit Universe,1.672
413,365,Tiny Epic Galaxies,1.6698
414,728,Cacao,1.6673
415,656,Detective: City of Angels,1.6667
416,405,Takenoko,1.6653
417,202,This War of Mine: The Board Game,1.665
418,24,A Feast for Odin,1.6649
419,17,Dune: Imperium – Uprising,1.6635
420,910,Celestia,1.6617
421,413,Agricola: All Creatures Big and Small,1.6578
422,395,SETI: Search for Extraterrestrial Intelligence,1.6541
423,263,Century: Golem Edition,1.6512
424,197,Earth,1.6507
425,748,Verdant,1.6504
426,529,Bohnanza,1.65
427,540,Citadels,1.6494
428,104,The White Castle,1.6493
429,385,Arboretum,1.6491
430,463,San Juan (Second Edition),1.6452
431,293,Chronicles of Crime,1.6442
432,375,Small World,1.6439
433,126,Eldritch Horror,1.641
434,358,Century: Spice Road,1.6407
435,847,Advanced Squad Leader: Starter Kit #1,1.6396
436,920,Jambo,1.6388
437,692,Whitehall Mystery,1.6385
438,421,51st State: Master Set,1.6372
439,975,"13 Days: The Cuban Missile Crisis, 1962",1.6359
440,349,Nemo's War (Second Edition),1.6343
441,542,Feed the Kraken,1.6341
442,238,Nidavellir,1.6332
443,476,Wavelength,1.6325
444,274,Samurai,1.632
445,39,Viticulture Essential Edition,1.6297
446,511,Unsettled,1.6286
447,71,Age of Innovation,1.6282
448,558,Forbidden Desert,1.6282
449,672,Project: ELITE,1.628
450,366,Destinies,1.627
451,674,Paperback,1.6267
452,68,The Quacks of Quedlinburg,1.6256
453,934,Wandering Towers,1.625
454,435,At the Gates of Loyang,1.6213
455,166,Watergate,1.621
456,570,Thurn and Taxis,1.6199
457,388,Bärenpark,1.6191
458,505,Reign of Cthulhu,1.6183
459,609,Camel Up,1.6164
460,160,The Isle of Cats,1.6162
461,117,Tigris & Euphrates,1.616
462,319,Dixit: Odyssey,1.6147
463,6,Dune: Imperium,1.6135
464,864,Disney Villainous: The Worst Takes it All,1.6125
465,539,Endeavor: Deep Sea,1.6066
466,579,"Labyrinth: The War on Terror, 2001 – ?",1.6062
467,854,CO₂: Second Chance,1.6054
468,398,Dixit,1.6045
469,979,Luxor,1.604
470,906,Not Alone,1.6028
471,869,Kanagawa,1.6024
472,276,Hallertau,1.599
473,174,Praga Caput Regni,1.5985
474,853,Eminent Domain,1.5984
475,208,Cosmic Encounter,1.5982
476,122,The Quest for El Dorado,1.5884
477,404,Ginkgopolis,1.588
478,828,Villagers,1.588
479,782,Tokaido,1.5864
480,989,Red Rising,1.5847
481,88,The Lord of the Rings: Duel for Middle-earth,1.5833
482,519,A Few Acres of Snow,1.5833
483,779,The Bloody Inn,1.5833
484,585,Pagan: Fate of Roanoke,1.5816
485,622,The Fox in the Forest,1.5807
486,406,Mysterium,1.5803
487,600,Las Vegas,1.5794
488,915,Zombicide Season 2: Prison Outbreak,1.5742
489,84,Clank!: A Deck-Building Adventure,1.5741
490,180,Terraforming Mars: Ares Expedition,1.5724
491,213,Horrified,1.5714
492,781,Babylonia,1.5714
493,815,Leaving Earth,1.5714
494,965,Combat Commander: Pacific,1.5714
495,425,Unmatched: Robin Hood vs. Bigfoot,1.5689
496,863,Paris: La Cité de la Lumière,1.5686
497,462,Azul: Stained Glass of Sintra,1.5684
498,557,Junk Art,1.5676
499,757,Unlock!: Timeless Adventures,1.5658
500,878,Dice Hospital,1.5595
501,323,Long Shot: The Dice Game,1.5588
502,990,Last Night on Earth: The Zombie Game,1.5584
503,457,Cubitos,1.5562
504,272,Roll Player,1.5533
505,543,Canvas,1.5519
506,931,Pandemic: Rising Tide,1.5516
507,89,Lords of Waterdeep,1.5515
508,94,Revive,1.5497
509,347,The King Is Dead: Second Edition,1.5479
510,86,Fields of Arle,1.5477
